"Clade","Orders","Family","Genus","Species"
"Sauropsida","Passeriformes","Estrildidae","Uraeginthus","Uraeginthus_cyanocephalus"
"Sauropsida","Passeriformes","Nectariniidae","Chalcomitra","Chalcomitra_senegalensis"
"Sauropsida","Psittaciformes","Psittacidae","Aratinga","Aratinga_solstitialis"
"Sauropsida","Columbiformes","Columbidae","Chalcophaps","Chalcophaps_indica"
"Sauropsida","Cuculiformes","Crotophagidae","Guira","Guira_guira"
"Sauropsida","Anseriformes","Anatidae","Sibirionetta","Anas_formosa"
"Sauropsida","Columbiformes","Columbidae","Goura","Goura_victoria"
"Sauropsida","Psittaciformes","Psittaculidae","Trichoglossus","Trichoglossus_moluccanus"
"Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus_carolinensis"
"Sauropsida","Psittaciformes","Psittacidae","Rhynchopsitta","Rhynchopsitta_pachyrhyncha"
"Sauropsida","Pelecaniformes","Threskiornithidae","Plegadis","Threskiornis_aethiopicus"
"Sauropsida","Testudines","Chelidae","Chelus","Chelus_fimbriatus"
"Sauropsida","Testudines","Chelidae","Chelodina","Chelodina_mccordi"
"Sauropsida","Gruiformes","Rallidae","Anurolimnas","Anurolimnas_fasciatus"
"Sauropsida","Squamata","Teiidae","Cnemidophorus","Cnemidophorus_uniparens"
"Mammalia","Primates","Callitrichidae","Mico","Mico_Argentatus"
"Sauropsida","Passeriformes","Sturnidae","Cosmopsarus","Cosmopsarus_regius"
"Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus_eugenii"
"Sauropsida","Passeriformes","Irenidae","Irena","Irena_cyanogaster"
"Sauropsida","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","Phoenicopterus_ruber"
"Sauropsida","Podicipediformes","Podicipedidae","Podilymbus","Taeniopygia_bichenovii"
"Sauropsida","Coraciiformes","Coraciidae","Coracias","Coracias_cyanogaster"
"Mammalia","Diprotodontia","Macropodidae","Notamacropus","Notamacropus_rufogriseus"
"Sauropsida","Columbiformes","Columbidae","Geopelia","Geopelia_cuneata"
"Sauropsida","Anseriformes","Anatidae","Nettapus","Nettapus_auritus"
"Sauropsida","Squamata","Boidae","Epicrates","Epicrates_subflavus"
"Sauropsida","Passeriformes","Ploceidae","Ploceus","Ploceus_castaneiceps"
"Sauropsida","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","Phoenicopterus_chilensis"
"Sauropsida","Anseriformes","Anatidae","Spatula","Spatula_hottentota"
"Sauropsida","Coliiformes","Coliidae","Colius","Colius_striatus"
"Sauropsida","Anseriformes","Anatidae","Dendrocygna","Dendrocygna_autumnalis"
"Sauropsida","Psittaciformes","Psittacidae","Anodorhynchus","Anodorhynchus_hyacinthinus"
"Sauropsida","Anseriformes","Anatidae","Netta","Netta_rufina"
"Sauropsida","Strigiformes","Strigidae","Athene","Athene_cunicularia"
"Sauropsida","Pelecaniformes","Ardeidae","Ardeola","Ardeola_speciosa"
